time,T,RH,light
2017-08-27 10:30:00-08:00,31.827777777777776,80,1
2017-08-27 10:45:00-08:00,32.52291666666666,80,1
2017-08-27 11:00:00-08:00,32.8,80,1
2017-08-27 11:15:00-08:00,32.8,80,1
2017-08-27 11:30:00-08:00,32.8,80,1
2017-08-27 11:45:00-08:00,32.8,80,1
2017-08-27 12:00:00-08:00,32.8,80,1
2017-08-27 12:15:00-08:00,32.878125,80,1
2017-08-27 12:30:00-08:00,33.05,80,1
2017-08-27 12:45:00-08:00,33.221875,80,1
2017-08-27 13:00:00-08:00,33.3,80,1
2017-08-27 13:15:00-08:00,33.05,80,1
2017-08-27 13:30:00-08:00,32.5,80,1
2017-08-27 13:45:00-08:00,31.949999999999996,80,1
2017-08-27 14:00:00-08:00,31.7,80,1
2017-08-27 14:15:00-08:00,31.699999999999996,80,1
2017-08-27 14:30:00-08:00,31.699999999999996,80,1
2017-08-27 14:45:00-08:00,31.699999999999996,80,1
2017-08-27 15:00:00-08:00,31.7,80,1
2017-08-27 15:15:00-08:00,31.699999999999996,80,1
2017-08-27 15:30:00-08:00,31.699999999999996,80,1
2017-08-27 15:45:00-08:00,31.699999999999996,80,1
2017-08-27 16:00:00-08:00,31.7,80,1
2017-08-27 16:15:00-08:00,31.778124999999996,80,1
2017-08-27 16:30:00-08:00,31.950000000000003,80,1
2017-08-27 16:45:00-08:00,32.121875,80,1
2017-08-27 17:00:00-08:00,32.2,80,1
2017-08-27 17:15:00-08:00,31.891363636363643,80,1
2017-08-27 17:30:00-08:00,31.143636363636364,80,1
2017-08-27 17:45:00-08:00,30.224090909090908,80,1
2017-08-27 18:00:00-08:00,29.4,80,0
2017-08-27 18:15:00-08:00,28.689332386363635,80,0
2017-08-27 18:30:00-08:00,27.96715909090909,80,0
2017-08-27 18:45:00-08:00,27.28640625,80,0
2017-08-27 19:00:00-08:00,26.7,80,0
2017-08-27 19:15:00-08:00,26.203591720779222,80,0
2017-08-27 19:30:00-08:00,25.756168831168832,80,0
2017-08-27 19:45:00-08:00,25.35566152597403,80,0
2017-08-27 20:00:00-08:00,25.0,80,0
2017-08-27 20:15:00-08:00,24.676687237394958,80,0
2017-08-27 20:30:00-08:00,24.380094537815125,80,0
2017-08-27 20:45:00-08:00,24.11845456932773,80,0
2017-08-27 21:00:00-08:00,23.9,80,0
2017-08-27 21:15:00-08:00,23.72262700534759,80,0
2017-08-27 21:30:00-08:00,23.571122994652406,80,0
2017-08-27 21:45:00-08:00,23.434057486631016,80,0
